Target_genes	DNMT1|Average	SRX3148637|HBEC3-KT	SRX3148642|HBEC3-KT	SRX3148647|HBEC3-KT	SRX3148652|HBEC3-KT	SRX10478478|Hep_G2	SRX10478479|Hep_G2	SRX2424698|K-562	SRX2424699|K-562	SRX156110|NCCIT	SRX156118|NCCIT	SRX1021632|PC-3	SRX1021633|PC-3	STRING
WDR36	44.000000	0	0	0	0	199	329	0	0	0	0	0	0	0
SAR1B	44.000000	0	0	0	0	249	279	0	0	0	0	0	0	0
MOB4	44.000000	0	0	0	0	293	235	0	0	0	0	0	0	0
MFF	44.000000	0	0	0	0	255	273	0	0	0	0	0	0	0
ACTR5	43.500000	0	0	0	0	266	256	0	0	0	0	0	0	0
NBPF1	43.333333	0	0	0	0	231	289	0	0	0	0	0	0	0
MDP1	43.333333	0	0	0	0	313	207	0	0	0	0	0	0	0
UNC80	43.166667	0	0	0	0	252	266	0	0	0	0	0	0	0
KCNK12	43.000000	0	0	0	0	182	334	0	0	0	0	0	0	0
PRMT5	42.583333	0	0	0	0	270	241	0	0	0	0	0	0	0
SCRT1	42.500000	0	0	0	0	240	270	0	0	0	0	0	0	0
DNAH14	42.500000	0	0	0	0	276	234	0	0	0	0	0	0	0
MNAT1	42.333333	0	0	0	0	252	256	0	0	0	0	0	0	0
PSMF1	42.250000	0	0	0	0	303	204	0	0	0	0	0	0	0
ANKRD36C	42.250000	0	0	0	0	248	259	0	0	0	0	0	0	0
SCAND1	42.166667	0	0	0	0	247	259	0	0	0	0	0	0	0
DCAF10	42.166667	0	0	0	0	290	216	0	0	0	0	0	0	0
NME1-NME2	42.083333	0	0	0	0	254	251	0	0	0	0	0	0	0
NME1	42.083333	0	0	0	0	254	251	0	0	0	0	0	0	0
CCDC92B	42.083333	0	0	0	0	204	301	0	0	0	0	0	0	0
TCTE3	42.000000	0	0	0	0	276	228	0	0	0	0	0	0	0
ICE2	42.000000	0	0	0	0	228	276	0	0	0	0	0	0	0
ERMARD	42.000000	0	0	0	0	276	228	0	0	0	0	0	0	0
ANKRD36	41.916667	0	0	0	0	197	306	0	0	0	0	0	0	0
MRPS31	41.750000	0	0	0	0	299	202	0	0	0	0	0	0	0
ZNF337	41.666667	0	0	0	0	226	274	0	0	0	0	0	0	0
NOL7	41.666667	0	0	0	0	280	220	0	0	0	0	0	0	0
NAT10	41.666667	0	0	0	0	120	238	142	0	0	0	0	0	0
ZNF391	41.583333	0	0	0	0	215	190	0	94	0	0	0	0	0
USP37	41.500000	0	0	0	0	114	107	0	0	0	0	190	87	0
CNOT9	41.500000	0	0	0	0	114	107	0	0	0	0	190	87	0
SLX1B	41.416667	0	0	0	0	64	0	189	244	0	0	0	0	0
SLX1A	41.416667	0	0	0	0	64	0	189	244	0	0	0	0	0
BOLA2B	41.416667	0	0	0	0	64	0	189	244	0	0	0	0	0
BOLA2	41.416667	0	0	0	0	64	0	189	244	0	0	0	0	0
SYBU	41.333333	0	0	0	0	0	0	0	0	0	0	405	91	0
TMEM106B	41.083333	0	0	0	0	167	326	0	0	0	0	0	0	0
CBWD1	41.000000	0	0	0	0	223	269	0	0	0	0	0	0	0
ZNF23	40.833333	0	0	0	0	244	246	0	0	0	0	0	0	0
SLC25A21	40.833333	0	0	0	0	182	308	0	0	0	0	0	0	0
MRPL21	40.833333	0	0	0	0	232	258	0	0	0	0	0	0	0
IGHMBP2	40.833333	0	0	0	0	232	258	0	0	0	0	0	0	0
RAB5IF	40.666667	0	0	0	0	240	248	0	0	0	0	0	0	0
LHFPL5	40.666667	0	0	0	0	226	262	0	0	0	0	0	0	0
TOP3B	40.583333	0	0	0	0	113	151	119	104	0	0	0	0	0
BAG6	40.416667	0	0	0	0	0	103	176	206	0	0	0	0	0
HDAC2	40.333333	0	0	0	0	219	265	0	0	0	0	0	0	0
DDX1	40.333333	0	0	0	0	179	305	0	0	0	0	0	0	0
PLCB1	40.250000	0	0	0	0	225	258	0	0	0	0	0	0	0
PEX3	40.250000	0	0	0	0	267	216	0	0	0	0	0	0	0
ADAT2	40.250000	0	0	0	0	267	216	0	0	0	0	0	0	0
SLC44A1	40.166667	0	0	0	0	219	263	0	0	0	0	0	0	0
GSTA4	40.000000	0	0	0	0	198	282	0	0	0	0	0	0	0
ZSCAN30	39.750000	0	0	0	0	199	278	0	0	0	0	0	0	0
TMX4	39.666667	0	0	0	0	202	274	0	0	0	0	0	0	0
TIGD1	39.666667	0	0	0	0	192	284	0	0	0	0	0	0	0
EIF4E2	39.666667	0	0	0	0	192	284	0	0	0	0	0	0	0
DPY19L4	39.666667	0	0	0	0	288	188	0	0	0	0	0	0	0
ANKAR	39.666667	0	0	0	0	242	234	0	0	0	0	0	0	0
ARL6IP1	39.583333	0	0	0	0	275	200	0	0	0	0	0	0	0
RTF2	39.500000	0	0	0	0	322	152	0	0	0	0	0	0	0
PHF3	39.416667	0	0	0	0	170	303	0	0	0	0	0	0	0
RGPD8	39.333333	0	0	0	0	225	247	0	0	0	0	0	0	0
RSPH3	39.083333	0	0	0	0	156	313	0	0	0	0	0	0	0
SCNN1G	38.916667	0	0	0	0	290	177	0	0	0	0	0	0	0
RPS7	38.916667	0	0	0	0	203	264	0	0	0	0	0	0	0
NCOA5	38.916667	0	0	0	0	221	246	0	0	0	0	0	0	0
LZTR1	38.833333	0	0	0	0	0	0	254	212	0	0	0	0	0
FERMT1	38.833333	0	0	0	0	162	304	0	0	0	0	0	0	0
SMARCD2	38.750000	0	0	0	0	172	167	0	0	0	0	126	0	0
RFC1	38.666667	0	0	0	0	193	271	0	0	0	0	0	0	0
RPL5	38.583333	0	0	0	0	185	278	0	0	0	0	0	0	0
NDUFA12	38.500000	0	0	0	0	203	259	0	0	0	0	0	0	0
DUS1L	38.500000	0	0	0	0	254	208	0	0	0	0	0	0	0
AP3S2	38.500000	0	0	0	0	255	207	0	0	0	0	0	0	0
LEMD3	38.416667	0	0	0	0	142	319	0	0	0	0	0	0	0
CCDC107	38.416667	0	0	0	0	260	201	0	0	0	0	0	0	0
SNRPB2	38.333333	0	0	0	0	196	264	0	0	0	0	0	0	0
TCFL5	38.250000	0	0	0	0	264	195	0	0	0	0	0	0	0
HM13	38.250000	0	0	0	0	203	256	0	0	0	0	0	0	0
SEC14L1	38.083333	0	0	0	0	242	215	0	0	0	0	0	0	0
TTC26	38.000000	0	0	0	0	77	122	116	141	0	0	0	0	0
SST	37.833333	0	0	0	0	216	238	0	0	0	0	0	0	0
SNX17	37.833333	0	0	0	0	265	189	0	0	0	0	0	0	0
EIF2B4	37.833333	0	0	0	0	265	189	0	0	0	0	0	0	0
PKIG	37.666667	0	0	0	0	210	242	0	0	0	0	0	0	0
RBM45	37.583333	0	0	0	0	234	217	0	0	0	0	0	0	0
GTF2H2C_2	37.583333	0	0	0	0	213	238	0	0	0	0	0	0	0
CWC25	37.583333	0	0	0	0	204	247	0	0	0	0	0	0	0
CLUAP1	37.583333	0	0	0	0	249	202	0	0	0	0	0	0	0
KIAA1586	37.500000	0	0	0	0	124	326	0	0	0	0	0	0	0
SURF6	37.416667	0	0	0	0	195	254	0	0	0	0	0	0	0
NFAT5	37.416667	0	0	0	0	200	249	0	0	0	0	0	0	0
HBQ1	37.416667	0	0	0	0	261	188	0	0	0	0	0	0	0
TRUB2	37.333333	0	0	0	0	0	0	266	182	0	0	0	0	0
SECISBP2L	37.333333	0	0	0	0	245	203	0	0	0	0	0	0	0
COQ4	37.333333	0	0	0	0	0	0	266	182	0	0	0	0	0
ZNF770	37.250000	0	0	0	0	193	254	0	0	0	0	0	0	0
MRTFB	37.250000	0	0	0	0	227	220	0	0	0	0	0	0	0
MRS2	37.250000	0	0	0	0	197	250	0	0	0	0	0	0	0
PYURF	37.166667	0	0	0	0	198	248	0	0	0	0	0	0	0
PIGY	37.166667	0	0	0	0	198	248	0	0	0	0	0	0	0
HERC3	37.166667	0	0	0	0	198	248	0	0	0	0	0	0	0
GOT2	37.166667	0	0	0	0	214	232	0	0	0	0	0	0	0
BRMS1L	37.166667	0	0	0	0	217	229	0	0	0	0	0	0	0
PTPRS	37.083333	0	0	0	0	151	294	0	0	0	0	0	0	0
SPOP	36.916667	0	0	0	0	154	289	0	0	0	0	0	0	0
POLE4	36.916667	0	0	0	0	169	274	0	0	0	0	0	0	0
AATF	36.916667	0	0	0	0	162	281	0	0	0	0	0	0	0
METAP1	36.666667	0	0	0	0	136	73	0	0	0	0	231	0	0
TAMM41	36.500000	0	0	0	0	218	220	0	0	0	0	0	0	0
IFNAR1	36.500000	0	0	0	0	145	195	98	0	0	0	0	0	0
CRNKL1	36.500000	0	0	0	0	123	315	0	0	0	0	0	0	0
CFAP61	36.500000	0	0	0	0	123	315	0	0	0	0	0	0	0
N6AMT1	36.416667	0	0	0	0	224	213	0	0	0	0	0	0	0
TTC4	36.333333	0	0	0	0	130	206	100	0	0	0	0	0	0
VPS36	36.250000	0	0	0	0	223	212	0	0	0	0	0	0	0
PMVK	36.250000	0	0	0	0	184	251	0	0	0	0	0	0	0
GORASP2	36.250000	0	0	0	0	181	254	0	0	0	0	0	0	0
ATP5MC2	36.166667	0	0	0	0	128	164	142	0	0	0	0	0	0
BOLA2-SMG1P6	36.083333	0	0	0	0	0	0	189	244	0	0	0	0	0
THOC3	36.000000	0	0	0	0	198	234	0	0	0	0	0	0	0
KANSL3	36.000000	0	0	0	0	264	168	0	0	0	0	0	0	0
H4C15	36.000000	0	0	0	0	209	223	0	0	0	0	0	0	0
H4C14	36.000000	0	0	0	0	209	223	0	0	0	0	0	0	0
ALG10	36.000000	0	0	0	0	191	241	0	0	0	0	0	0	0
UFD1	35.916667	0	0	0	0	0	0	227	204	0	0	0	0	0
NFE2L2	35.916667	0	0	0	0	228	203	0	0	0	0	0	0	0
EXOG	35.916667	0	0	0	0	239	192	0	0	0	0	0	0	0
CDC45	35.916667	0	0	0	0	0	0	227	204	0	0	0	0	0
POLG2	35.750000	0	0	0	0	131	156	0	142	0	0	0	0	0
PMS2	35.750000	0	0	0	0	213	216	0	0	0	0	0	0	0
OPA1	35.750000	0	0	0	0	282	147	0	0	0	0	0	0	0
AIMP2	35.750000	0	0	0	0	213	216	0	0	0	0	0	0	0
SAAL1	35.666667	0	0	0	0	180	248	0	0	0	0	0	0	0
PCID2	35.666667	0	0	0	0	183	245	0	0	0	0	0	0	0
CUL4A	35.666667	0	0	0	0	183	245	0	0	0	0	0	0	0
BCL7C	35.666667	0	0	0	0	192	236	0	0	0	0	0	0	0
PCNA	35.583333	0	0	0	0	167	260	0	0	0	0	0	0	0
DHX8	35.583333	0	0	0	0	184	152	91	0	0	0	0	0	0
TVP23B	35.500000	0	0	0	0	224	202	0	0	0	0	0	0	0
MRPL3	35.500000	0	0	0	0	183	243	0	0	0	0	0	0	0
TUBGCP3	35.333333	0	0	0	0	199	225	0	0	0	0	0	0	0
NOC3L	35.333333	0	0	0	0	232	192	0	0	0	0	0	0	0
ATXN2L	35.333333	0	0	0	0	238	186	0	0	0	0	0	0	0
SLC35F5	35.250000	0	0	0	0	162	261	0	0	0	0	0	0	0
ELOVL2	35.250000	0	0	0	0	222	201	0	0	0	0	0	0	0
UGGT1	35.166667	0	0	0	0	210	212	0	0	0	0	0	0	0
MIPOL1	35.166667	0	0	0	0	227	195	0	0	0	0	0	0	0
SMIM8	35.000000	0	0	0	0	253	167	0	0	0	0	0	0	0
PARL	35.000000	0	0	0	0	203	217	0	0	0	0	0	0	0
SLC39A13	34.833333	0	0	0	0	208	210	0	0	0	0	0	0	0
FSIP2	34.833333	0	0	0	0	189	229	0	0	0	0	0	0	0
TRMT61B	34.750000	0	0	0	0	224	193	0	0	0	0	0	0	0
DNAJC6	34.666667	0	0	0	0	178	238	0	0	0	0	0	0	0
STAT3	34.583333	0	0	0	0	227	188	0	0	0	0	0	0	0
RRP1B	34.583333	0	0	0	0	250	165	0	0	0	0	0	0	0
NUP54	34.583333	0	0	0	0	132	283	0	0	0	0	0	0	0
HSF2BP	34.583333	0	0	0	0	250	165	0	0	0	0	0	0	0
GMCL1	34.583333	0	0	0	0	134	281	0	0	0	0	0	0	0
FANCD2	34.583333	0	0	0	0	175	240	0	0	0	0	0	0	0
DCP1B	34.583333	0	0	0	0	167	248	0	0	0	0	0	0	0
LDAH	34.500000	0	0	0	0	226	188	0	0	0	0	0	0	0
EBAG9	34.500000	0	0	0	0	193	221	0	0	0	0	0	0	0
MMP24	34.416667	0	0	0	0	213	200	0	0	0	0	0	0	0
CDC73	34.416667	0	0	0	0	182	231	0	0	0	0	0	0	0
ADGRG6	34.333333	0	0	0	0	175	154	0	0	0	0	83	0	0
TMA16	34.250000	0	0	0	0	221	190	0	0	0	0	0	0	0
TINF2	34.250000	0	0	0	0	192	219	0	0	0	0	0	0	0
TTLL4	34.166667	0	0	0	0	162	248	0	0	0	0	0	0	0
ERCC6L2	34.166667	0	0	0	0	215	195	0	0	0	0	0	0	0
ALKBH3	34.166667	0	0	0	0	143	267	0	0	0	0	0	0	0
VRK2	34.083333	0	0	0	0	205	204	0	0	0	0	0	0	0
MRPS23	34.083333	0	0	0	0	165	244	0	0	0	0	0	0	0
SDHAF3	34.000000	0	0	0	0	164	244	0	0	0	0	0	0	0
HSPE1-MOB4	33.916667	0	0	0	0	173	234	0	0	0	0	0	0	0
HSPE1	33.916667	0	0	0	0	173	234	0	0	0	0	0	0	0
HSPD1	33.916667	0	0	0	0	173	234	0	0	0	0	0	0	0
FAM177A1	33.916667	0	0	0	0	189	218	0	0	0	0	0	0	0
RRN3	33.833333	0	0	0	0	239	167	0	0	0	0	0	0	0
IRF9	33.833333	0	0	0	0	235	171	0	0	0	0	0	0	0
NCKIPSD	33.750000	0	0	0	0	189	216	0	0	0	0	0	0	0
ATP5F1E	33.750000	0	0	0	0	205	200	0	0	0	0	0	0	0
TTC30A	33.666667	0	0	0	0	133	271	0	0	0	0	0	0	0
SSBP1	33.666667	0	0	0	0	125	154	125	0	0	0	0	0	0
NUBP1	33.666667	0	0	0	0	165	239	0	0	0	0	0	0	0
LUC7L	33.666667	0	0	0	0	201	203	0	0	0	0	0	0	0
IKZF3	33.666667	0	0	0	0	135	269	0	0	0	0	0	0	0
DHDDS	33.666667	0	0	0	0	151	135	118	0	0	0	0	0	0
USP30	33.583333	0	0	0	0	218	185	0	0	0	0	0	0	0
RSRP1	33.583333	0	0	0	0	115	118	170	0	0	0	0	0	0
MARCHF7	33.583333	0	0	0	0	184	219	0	0	0	0	0	0	0
TP53I3	33.500000	0	0	0	0	210	192	0	0	0	0	0	0	0
PLD6	33.500000	0	0	0	0	179	223	0	0	0	0	0	0	0
WTAP	33.416667	0	0	0	0	182	219	0	0	0	0	0	0	0
SOD2	33.416667	0	0	0	0	182	219	0	0	0	0	0	0	0
PYGB	33.416667	0	0	0	0	183	218	0	0	0	0	0	0	0
POTEJ	33.416667	0	0	0	0	153	248	0	0	0	0	0	0	0
PRAME	33.250000	0	0	0	0	0	0	241	158	0	0	0	0	0
OGDHL	33.250000	0	0	0	0	197	202	0	0	0	0	0	0	0
SEC23A	33.166667	0	0	0	0	155	243	0	0	0	0	0	0	0
PHF1	33.166667	0	0	0	0	229	169	0	0	0	0	0	0	0
DHRS13	33.166667	0	0	0	0	209	189	0	0	0	0	0	0	0
COMMD1	33.166667	0	0	0	0	193	205	0	0	0	0	0	0	0
CCT4	33.166667	0	0	0	0	193	205	0	0	0	0	0	0	0
ZNF843	33.083333	0	0	0	0	182	215	0	0	0	0	0	0	0
THUMPD1	33.083333	0	0	0	0	179	218	0	0	0	0	0	0	0
CHRNB2	33.083333	0	0	0	0	262	135	0	0	0	0	0	0	0
ABT1	33.083333	0	0	0	0	189	208	0	0	0	0	0	0	0
ZNF165	33.000000	0	0	0	0	168	136	92	0	0	0	0	0	0
RHOT2	33.000000	0	0	0	0	229	167	0	0	0	0	0	0	0
POLR2D	33.000000	0	0	0	0	185	211	0	0	0	0	0	0	0
NEURL2	33.000000	0	0	0	0	180	216	0	0	0	0	0	0	0
CTSA	33.000000	0	0	0	0	180	216	0	0	0	0	0	0	0
PRMT2	32.916667	0	0	0	0	180	215	0	0	0	0	0	0	0
NPPB	32.916667	0	0	0	0	176	219	0	0	0	0	0	0	0
EXOC2	32.916667	0	0	0	0	280	115	0	0	0	0	0	0	0
VPS33A	32.833333	0	0	0	0	154	159	0	81	0	0	0	0	0
NAGK	32.833333	0	0	0	0	219	175	0	0	0	0	0	0	0
MTIF2	32.833333	0	0	0	0	176	129	0	89	0	0	0	0	0
LAMP1	32.833333	0	0	0	0	223	171	0	0	0	0	0	0	0
ANK1	32.833333	0	0	0	0	264	130	0	0	0	0	0	0	0
SPAG16	32.750000	0	0	0	0	173	220	0	0	0	0	0	0	0
DHX40	32.750000	0	0	0	0	199	194	0	0	0	0	0	0	0
CCDC146	32.750000	0	0	0	0	132	85	0	0	0	0	176	0	0
ZMPSTE24	32.666667	0	0	0	0	199	193	0	0	0	0	0	0	0
GHR	32.666667	0	0	0	0	84	84	0	0	0	0	224	0	0
RNF149	32.583333	0	0	0	0	203	188	0	0	0	0	0	0	0
CSTF1	32.583333	0	0	0	0	202	189	0	0	0	0	0	0	0
CDKN2AIPNL	32.583333	0	0	0	0	203	188	0	0	0	0	0	0	0
AURKA	32.583333	0	0	0	0	202	189	0	0	0	0	0	0	0
UGGT2	32.500000	0	0	0	0	183	207	0	0	0	0	0	0	0
TTPAL	32.500000	0	0	0	0	162	228	0	0	0	0	0	0	0
SNRPB	32.500000	0	0	0	0	130	260	0	0	0	0	0	0	0
SIK2	32.416667	0	0	0	0	254	135	0	0	0	0	0	0	0
CFL2	32.416667	0	0	0	0	138	251	0	0	0	0	0	0	0
AMZ2	32.333333	0	0	0	0	204	184	0	0	0	0	0	0	0
ZNF212	32.250000	0	0	0	0	169	218	0	0	0	0	0	0	0
KMT2C	32.250000	0	0	0	0	201	186	0	0	0	0	0	0	0
METTL5	32.166667	0	0	0	0	214	172	0	0	0	0	0	0	0
COX18	32.166667	0	0	0	0	186	200	0	0	0	0	0	0	0
VTA1	32.083333	0	0	0	0	185	200	0	0	0	0	0	0	0
NMBR	32.083333	0	0	0	0	185	200	0	0	0	0	0	0	0
LATS1	32.083333	0	0	0	0	214	171	0	0	0	0	0	0	0
C17orf75	32.083333	0	0	0	0	163	222	0	0	0	0	0	0	0
VPS4A	32.000000	0	0	0	0	287	97	0	0	0	0	0	0	0
