Target_genes	NANOG|Average	SRX13365367|293	SRX13365368|293	SRX13441621|293	SRX13441622|293	SRX5286324|ES_cells	SRX5286325|ES_cells	SRX5286327|ES_cells	SRX5286328|ES_cells	SRX702044|hESC_derived_ectodermal_cells	SRX702037|hESC_derived_mesendodermal_cells	SRX702038|hESC_derived_mesendodermal_cells	SRX702042|hESC_derived_mesendodermal_cells	SRX702043|hESC_derived_mesendodermal_cells	SRX011617|hESC_H1	SRX011618|hESC_H1	SRX017277|hESC_H1	SRX100482|hESC_H1	SRX10448024|hESC_H1	SRX13437668|hESC_H1	SRX13437669|hESC_H1	SRX1303985|hESC_H9	SRX2881137|hESC_H9	SRX2881138|hESC_H9	SRX3288566|hESC_H9	SRX3288567|hESC_H9	SRX6101126|hESC_H9	SRX6101127|hESC_H9	SRX266862|hESC_HUES64	SRX266863|hESC_HUES64	SRX702036|hESC_HUES64	SRX702039|hESC_HUES64	SRX702040|hESC_HUES64	SRX702041|hESC_HUES64	SRX20532160|hESC_HUES8	SRX20532161|hESC_HUES8	SRX11783370|hESC_UCLA2	SRX11783372|hESC_UCLA2	SRX5286326|hESC_WIBR2	SRX5286329|hESC_WIBR2	SRX5457195|iPS_cells	SRX5457196|iPS_cells	SRX1424693|LNCAP	SRX1424694|LNCAP	SRX1424695|LNCAP	SRX1424696|LNCAP	SRX1424697|LNCAP	SRX10445282|Neural_crest_cells	SRX10445290|Neural_crest_cells	SRX10445300|Neural_crest_cells	SRX10445309|Neural_crest_cells	SRX11783374|PGCLC	SRX11783376|PGCLC	STRING
VENTX	901.326923	0	0	0	0	2403	412	3197	1966	0	1054	0	632	566	0	0	496	676	2125	778	139	0	3084	599	1444	1358	1190	1476	660	900	663	908	925	510	2394	2509	279	573	3627	2476	125	0	0	0	0	0	0	849	516	1803	1406	1916	235	0
KCNIP4	893.250000	0	0	0	0	1291	242	1332	705	0	967	0	613	751	297	433	580	322	1037	679	522	548	2686	2182	2146	2293	0	0	970	1375	994	1371	1001	795	2761	2785	709	1114	2497	482	834	322	0	383	356	310	199	1701	1323	1692	2849	0	0	0
CCDC169-SOHLH2	890.961538	0	0	0	0	2613	567	1951	737	0	412	0	228	207	0	0	897	0	2358	631	311	123	2600	754	2069	1816	1142	1567	975	1193	1030	1219	514	392	2851	2858	708	1049	3097	777	631	219	0	0	0	0	0	2088	555	2295	2896	0	0	0
CCDC169	890.961538	0	0	0	0	2613	567	1951	737	0	412	0	228	207	0	0	897	0	2358	631	311	123	2600	754	2069	1816	1142	1567	975	1193	1030	1219	514	392	2851	2858	708	1049	3097	777	631	219	0	0	0	0	0	2088	555	2295	2896	0	0	0
SFRP2	875.846154	0	0	0	0	2511	0	2993	2722	0	999	0	0	0	0	0	0	0	2407	0	0	0	2601	2212	0	2064	1414	2072	0	0	0	0	0	0	2522	2496	0	0	3250	2290	0	0	0	0	0	0	0	2646	2518	2956	3502	1369	0	0
NRG1	853.346154	0	0	0	0	2511	830	887	446	0	753	0	409	571	465	463	377	157	1885	582	300	272	2148	1240	2212	1831	1950	2477	653	1252	668	1263	753	589	2632	2659	750	1067	3444	481	605	212	0	0	0	0	0	970	396	916	1997	301	0	0
UCK1	845.750000	714	897	523	635	0	0	684	220	0	402	0	194	0	158	125	1962	1280	3568	1373	2034	0	143	1528	2214	1266	1005	1339	275	193	281	189	461	364	3721	3668	229	434	1536	1873	643	276	0	0	1248	0	1466	566	698	977	1532	873	212	0
ZNF343	845.173077	0	0	0	0	2576	531	1943	610	0	861	0	534	603	150	190	1077	241	2295	1353	347	221	2830	1092	1695	1612	2362	2476	716	919	714	918	663	627	2062	2127	407	731	3206	810	196	0	0	0	0	0	0	1041	674	750	1476	313	0	0
AK4	827.884615	666	188	653	0	1730	357	2144	879	0	376	0	192	273	420	499	1106	402	1430	1337	490	424	2217	1247	2242	2421	1129	1706	481	321	504	333	149	241	2386	2426	438	526	2602	2094	796	626	0	0	0	0	0	925	626	1076	1532	440	0	0
OBI1	812.826923	0	94	0	0	1322	158	1115	351	0	748	0	405	477	195	251	741	204	2277	971	435	334	1836	1556	1811	1359	1736	2235	1118	1505	1142	1536	749	618	3129	3141	410	620	2215	487	549	220	0	0	0	0	0	908	656	928	1247	478	0	0
MACROH2A1	801.153846	0	0	0	0	1820	411	2488	1451	0	732	0	363	507	0	0	782	1048	390	670	459	181	2397	1614	1131	952	763	1000	1288	1420	1299	1485	724	519	2396	2313	595	783	1928	1438	178	0	0	0	0	0	0	1449	1048	1306	1827	505	0	0
RPF1	797.480769	245	216	0	126	512	274	679	522	0	679	0	349	248	777	830	991	1347	1562	681	671	377	374	690	2195	1679	1625	1858	440	312	462	330	625	541	2287	2262	1003	1457	743	607	1245	719	0	0	467	0	573	1422	1053	1871	1669	1531	343	0
ERBB2	794.403846	275	169	0	0	0	0	543	142	0	683	0	282	438	171	0	816	619	1862	351	524	382	1528	1090	1566	1155	1240	1438	957	1294	940	1298	653	499	2603	2753	443	577	277	618	349	164	0	0	496	0	343	2271	2464	3064	3019	819	134	0
PGAP3	789.692308	275	169	0	0	0	0	543	142	0	683	0	282	438	171	0	816	619	1862	351	524	382	1528	1090	1566	1155	1240	1438	957	1294	940	1298	653	499	2603	2753	198	577	277	618	349	164	0	0	496	0	343	2271	2464	3064	3019	819	134	0
SYNPO2	766.461538	0	0	0	0	829	0	2061	984	0	763	0	436	595	0	0	1104	531	653	461	235	384	1335	1425	1295	1345	0	0	956	1110	958	1147	879	519	2431	2452	616	893	705	1751	593	182	0	0	0	0	0	2240	1750	2832	3248	158	0	0
TIMP4	757.211538	0	0	0	0	2234	241	2526	984	0	808	0	516	595	0	0	1389	500	447	837	310	218	1658	1400	1831	2115	207	184	793	1066	797	1080	818	512	2218	2076	308	495	1164	2746	325	189	0	0	0	0	0	1235	968	1752	1833	0	0	0
MED12	748.673077	0	0	0	0	2804	1475	2168	925	0	695	0	387	353	415	425	454	307	2373	685	142	0	2398	539	1125	649	2511	2711	442	809	451	830	627	563	942	906	411	575	3314	688	0	0	0	0	0	0	0	929	332	830	1339	1151	251	0
HES5	725.134615	0	0	0	0	1620	250	2382	843	0	714	0	483	554	0	0	1175	1401	0	935	0	210	2430	1231	745	1040	0	0	880	1201	939	1220	877	523	1454	1657	250	374	1257	2265	0	0	0	0	0	0	0	1858	2017	2384	2538	0	0	0
ZNF532	721.980769	0	0	0	0	1375	234	1111	268	0	651	0	277	250	372	455	1123	139	1958	1089	286	464	1559	1350	2090	1376	1181	1329	625	839	638	883	491	528	2734	2714	189	272	3024	223	847	543	0	0	0	0	0	728	449	816	1907	156	0	0
FGD4	686.250000	0	0	0	0	1699	190	946	283	0	394	0	248	293	0	76	577	0	2116	673	0	184	2184	380	1463	1020	1234	1249	687	693	696	703	340	380	2498	2664	386	585	2547	711	305	99	0	0	0	0	0	1455	1291	1642	2151	643	0	0
LINGO1	682.500000	0	0	0	0	1551	187	2064	1018	0	511	0	0	0	0	0	1003	0	1851	619	602	157	1274	967	1533	1238	1178	1488	489	531	480	543	463	386	2445	2308	175	490	2067	1385	0	0	0	0	0	0	0	1466	1265	1747	1892	117	0	0
VOPP1	681.307692	0	0	0	0	998	0	2982	1640	0	1012	0	468	597	231	287	771	395	170	388	0	97	2260	913	1160	799	127	146	849	1356	846	1373	908	564	2184	2522	466	521	1322	2639	361	0	0	0	0	0	0	910	1061	890	1215	0	0	0
DNMT3B	662.826923	0	0	0	0	972	0	2629	976	0	798	0	0	419	0	0	0	0	107	0	0	644	2047	2114	470	407	0	0	804	1291	830	1313	813	0	947	984	377	713	711	2448	0	0	0	0	0	0	0	2546	2800	3517	2790	0	0	0
WDR49	662.346154	0	0	0	0	1446	0	1103	386	0	712	0	211	445	380	370	938	506	232	1116	159	0	1775	816	1470	590	0	0	1159	1341	1173	1363	878	683	1636	1764	362	636	1746	1110	416	169	0	0	0	0	0	1642	1086	1773	2850	0	0	0
SNRPN	657.250000	0	0	0	0	1877	639	2407	1421	0	399	0	267	210	0	0	666	391	2499	358	404	0	1526	606	1399	948	873	1093	262	470	274	482	452	251	2415	2162	0	0	2912	1321	502	292	0	0	0	0	0	704	549	952	2194	0	0	0
FGFR2	652.730769	0	0	0	0	1161	0	484	0	0	645	0	268	401	284	308	702	351	1769	686	314	303	1291	1150	1546	1155	493	626	937	875	941	887	635	461	2850	2851	285	375	2075	363	412	249	0	0	0	0	0	1021	950	1515	1597	726	0	0
AKIRIN1	624.211538	0	0	0	0	635	0	913	180	0	992	0	385	517	341	397	1548	667	307	803	536	314	1292	1222	999	1341	0	139	1017	1231	1064	1262	1014	530	2166	2295	394	445	283	1284	349	0	0	0	0	0	0	1553	1350	1229	1376	89	0	0
FBP1	621.903846	0	0	0	0	1301	208	1964	695	0	539	0	256	275	0	0	1331	469	874	568	260	196	1506	758	968	973	585	581	455	477	471	480	491	393	2302	2303	149	498	1813	1938	304	0	0	0	0	0	0	1308	1040	1594	2016	0	0	0
ADAMTS16	619.269231	0	0	0	0	1831	430	644	259	0	734	0	323	485	216	230	495	220	873	674	223	163	1476	911	1942	1089	754	1043	367	609	377	630	765	389	2655	2419	245	408	2870	675	535	271	0	0	0	0	0	789	310	574	1273	892	134	0
CER1	597.711538	0	0	0	0	556	0	1294	470	0	764	0	592	423	308	334	773	533	119	749	165	375	1875	875	2027	1682	0	0	694	960	689	968	893	538	2919	2844	575	799	946	740	435	155	0	0	0	0	0	708	531	794	979	0	0	0
SLC7A5	568.903846	0	0	0	0	1126	0	1238	248	0	584	0	342	482	0	0	1145	0	0	408	0	305	1669	757	469	1540	0	0	573	516	571	398	488	0	424	349	229	325	965	2375	0	0	0	0	0	0	0	2953	3067	2964	3073	0	0	0
ETV1	561.019231	0	0	0	0	1796	368	644	191	0	365	0	134	306	0	124	458	0	1052	569	135	288	1104	1141	1682	1564	898	1038	267	485	280	490	380	307	2060	2279	369	624	2246	529	436	201	0	0	0	0	0	494	386	602	1319	1406	156	0
CNGA1	553.865385	0	0	0	0	2145	689	104	0	0	478	0	280	353	377	444	207	0	1479	585	0	149	2052	256	646	459	1357	1762	650	446	676	502	513	647	1352	1419	392	823	3023	117	254	0	0	0	0	0	0	787	334	995	1722	327	0	0
DACH2	552.057692	0	0	0	0	748	0	1978	758	0	750	0	508	569	305	419	212	464	71	0	0	0	2803	1689	722	486	0	0	519	1211	536	1226	720	386	992	1142	322	590	576	1240	0	0	0	0	0	0	0	1321	1698	1731	2015	0	0	0
ECE1	551.173077	0	0	0	0	0	705	3173	1794	0	0	0	0	0	0	0	0	0	2928	0	0	0	2954	0	0	0	447	555	0	0	0	0	0	0	444	324	0	0	3450	0	0	0	0	0	0	0	0	2425	2159	3926	2643	734	0	0
ZNF202	550.653846	0	0	0	0	416	0	1027	375	0	246	0	218	227	376	325	1237	319	1795	860	1104	575	806	1502	1874	1260	97	119	195	151	184	148	383	420	3159	2960	165	355	718	1519	850	336	0	0	0	0	0	331	335	391	866	410	0	0
DCLK1	541.019231	0	0	0	0	1370	0	1710	750	0	491	0	361	336	0	0	457	174	1191	259	204	171	1586	1050	1053	1184	652	719	450	471	466	484	393	302	2241	2364	318	380	1725	1197	227	0	0	0	0	0	0	674	392	542	1234	555	0	0
LRRTM3	540.884615	0	0	0	0	381	0	412	125	0	576	0	304	316	326	356	1164	407	1034	413	299	237	1271	1408	1168	1125	189	103	492	935	552	970	700	511	2592	2732	327	595	323	1427	506	174	0	0	0	0	0	653	839	959	1225	0	0	0
TBC1D16	538.442308	0	0	0	0	983	0	990	219	0	574	0	460	296	0	0	1395	659	484	671	617	194	903	981	771	617	122	79	622	930	643	936	679	371	1636	1668	162	361	1222	1165	452	173	0	0	0	0	0	1256	1298	1457	1846	107	0	0
ANK2	537.365385	120	198	0	115	729	0	1426	544	0	509	0	248	345	147	114	780	615	900	304	204	196	1536	769	776	555	163	128	570	523	599	533	595	337	2182	2183	213	360	761	1847	259	91	0	0	0	0	0	1244	1099	1494	1632	0	0	0
MBOAT2	534.076923	591	211	750	0	1851	433	595	0	0	322	0	241	274	0	0	353	0	2402	752	0	0	1489	452	1298	0	1961	2253	177	162	185	170	250	316	1795	1940	166	287	2673	1051	189	0	0	0	0	0	0	0	0	0	124	1627	432	0
LIN28B	526.942308	0	0	0	0	654	0	1520	459	0	621	0	352	457	257	280	685	660	0	410	204	238	2338	686	816	1034	0	0	896	1244	964	1342	846	559	2009	2094	286	337	233	542	157	0	0	0	0	0	0	955	798	1295	1173	0	0	0
PPP1R16B	526.423077	0	0	0	0	637	0	484	205	0	670	0	302	331	293	311	426	145	241	431	173	186	2021	818	1245	844	0	0	657	1198	695	1218	638	386	2451	2124	396	535	1345	634	95	0	0	0	0	0	0	1081	996	1433	1729	0	0	0
PITPNM2	521.384615	0	0	0	0	1204	311	1043	428	0	423	0	542	445	177	0	278	159	2044	366	0	0	1977	606	1909	1430	1192	1298	339	444	241	348	374	408	2017	1860	0	230	2361	1686	310	195	0	0	0	0	0	0	0	0	92	375	0	0
RRAS	515.961538	673	263	662	246	822	403	2422	1462	0	336	0	226	143	0	0	656	853	1073	214	496	0	670	1303	662	392	111	0	313	408	320	416	463	261	506	406	0	0	2455	811	0	0	0	0	0	0	0	1220	1114	1509	2540	0	0	0
DDOST	515.711538	168	277	147	223	0	0	382	186	0	389	0	170	168	0	0	1767	624	3086	1160	903	357	232	681	1621	1218	205	0	212	294	212	297	440	360	3484	3451	0	187	338	515	432	388	0	0	549	0	594	135	242	271	226	226	0	0
WBP1L	509.000000	0	145	0	154	869	0	1681	605	0	741	0	284	372	0	0	537	449	956	534	155	0	2666	519	432	1095	410	466	819	1243	830	1304	559	344	1338	1203	266	369	966	1597	0	0	0	0	0	0	0	515	407	983	516	139	0	0
CCDC92	508.000000	0	0	0	0	1094	0	1153	359	0	643	0	202	241	0	0	914	304	1933	384	206	121	2384	562	789	419	701	1053	375	651	383	669	424	333	1845	1613	172	274	1945	1956	115	0	0	0	0	0	0	635	443	530	591	0	0	0
DERA	507.269231	221	122	348	0	1824	469	953	596	0	0	0	0	0	0	0	182	177	2987	282	0	0	1083	167	800	268	1498	1732	119	0	124	151	0	0	1456	1650	223	448	2997	1178	0	0	0	0	0	0	0	586	280	778	738	1583	358	0
TRIML2	504.288462	0	0	0	0	1065	0	604	221	0	597	0	0	0	0	0	0	0	2013	0	0	0	1425	1519	2033	1325	983	0	0	0	0	870	607	0	3045	2991	0	549	2421	285	0	0	0	0	0	0	0	851	569	711	1291	248	0	0
HAS3	499.134615	0	0	0	0	549	0	1459	388	0	821	0	557	569	271	286	438	281	236	521	0	0	2935	974	527	1025	0	0	480	827	514	869	773	384	2170	2187	258	299	662	1118	218	0	0	0	0	0	0	864	466	886	1143	0	0	0
MPZL2	492.596154	0	0	0	0	1135	0	1928	511	0	554	0	351	454	139	162	696	297	244	784	0	0	1789	602	444	395	0	0	421	361	426	355	629	373	1603	1689	137	482	1826	1842	0	0	0	0	0	0	0	1124	687	1556	1619	0	0	0
TDGF1	488.173077	0	0	0	0	1548	345	488	158	0	334	0	121	212	807	881	467	132	1825	501	174	193	1390	516	1236	711	1261	1467	215	196	224	207	181	163	1400	1419	240	329	2013	791	253	132	0	0	0	0	176	509	386	663	1037	84	0	0
SH3RF2	480.730769	142	263	150	0	973	0	1286	648	0	535	0	167	377	0	0	568	490	563	241	172	0	1385	717	570	578	118	238	268	312	271	332	436	283	2041	1900	163	292	1493	1776	214	0	0	0	0	0	0	1101	1257	1090	1588	0	0	0
SLC24A2	477.423077	372	144	535	0	709	0	2072	736	0	531	0	210	392	0	0	542	1003	334	205	331	0	1402	607	455	113	0	0	190	345	196	352	540	267	1797	1663	149	212	1828	2334	213	0	0	0	0	0	0	761	896	1022	1195	173	0	0
FLAD1	473.173077	0	125	0	0	1658	562	658	410	0	605	0	174	314	0	0	389	0	1669	445	0	0	2069	184	976	437	1372	1533	248	448	261	497	577	468	709	823	354	471	2320	794	164	0	0	0	0	0	0	365	114	472	602	1143	195	0
MRPS16	471.692308	311	509	0	237	0	0	0	0	0	329	0	217	0	156	133	1919	174	3365	732	640	317	0	419	1506	877	297	351	0	0	0	0	192	384	3901	3704	0	143	0	308	642	416	0	0	1008	0	1103	0	127	0	0	111	0	0
FBXO40	469.442308	0	0	0	0	385	0	435	171	0	315	0	134	184	115	0	823	224	2635	358	634	255	728	923	1326	292	614	616	398	471	428	494	386	273	2770	2679	163	423	1193	704	723	219	0	0	0	0	0	344	555	446	575	0	0	0
TCHP	464.038462	0	0	0	0	668	0	157	0	0	169	0	0	106	268	269	857	0	2540	817	110	150	590	381	1540	559	394	338	286	132	294	138	0	254	2946	2957	134	225	3163	505	703	250	0	0	0	0	0	517	184	410	917	202	0	0
FZD2	459.692308	0	0	0	0	948	0	1235	735	0	810	0	257	457	0	0	308	904	138	288	0	0	1362	767	603	479	0	0	782	828	835	854	717	544	892	974	283	337	1095	1207	254	0	0	0	0	0	0	1084	674	1341	1576	336	0	0
CDC14B	451.903846	0	0	0	0	509	0	484	0	0	379	0	224	389	0	0	586	164	1087	885	247	164	666	694	1820	1431	454	645	190	236	208	252	337	269	2961	3068	246	297	1412	893	556	160	0	0	0	0	0	174	314	238	446	414	0	0
STIL	442.384615	0	302	0	144	433	0	1285	562	0	574	0	195	127	0	0	241	510	1432	197	110	0	1095	414	576	299	0	158	263	355	260	371	462	246	1968	1713	270	633	940	1751	193	0	0	0	0	0	0	921	784	1052	1693	475	0	0
ZNF649	441.903846	0	0	0	0	1257	186	500	0	0	187	0	173	239	158	202	508	198	1468	357	374	136	1361	751	884	187	433	508	123	128	140	163	193	212	1538	1519	153	150	1959	1990	296	206	0	0	0	0	0	787	440	1070	1317	528	0	0
LRRTM4	437.384615	0	0	0	0	1146	0	513	152	0	415	0	214	181	255	266	269	160	608	345	174	0	598	755	2082	1289	1007	1188	432	399	419	389	357	378	1344	1557	278	327	2146	598	346	158	0	0	0	0	0	371	285	263	1080	0	0	0
CFLAR	435.326923	0	0	0	0	1579	397	1173	513	0	132	0	0	0	0	0	274	0	2719	373	0	0	1691	0	786	476	1816	1826	0	0	0	0	159	188	1155	1088	242	176	2703	1264	0	0	0	0	0	0	0	127	0	0	276	1229	275	0
RFFL	430.038462	150	166	136	193	808	0	1224	416	0	412	0	201	213	0	0	774	348	895	416	151	0	1165	521	577	938	125	152	381	627	376	639	486	283	1512	1427	218	210	716	1745	128	0	0	0	0	0	0	841	640	894	1258	0	0	0
SP5	427.057692	0	0	0	0	1609	92	2149	1003	0	352	0	194	283	0	0	125	79	127	145	0	0	2460	353	393	1243	0	145	638	860	672	863	543	211	493	516	207	344	880	666	190	0	0	0	0	0	0	1194	492	1294	1392	0	0	0
SLFN12	420.750000	0	122	0	0	374	0	467	141	0	204	0	251	126	0	127	851	239	2221	574	437	204	309	745	1192	1397	712	802	249	265	248	306	180	289	2656	2575	142	304	1044	409	548	171	0	0	0	0	0	225	162	208	403	0	0	0
GSN	418.192308	180	0	0	0	1691	427	1039	532	0	253	0	0	98	0	0	272	148	1833	300	0	0	765	139	341	816	1213	1267	299	306	311	310	259	124	637	578	140	114	2812	758	0	0	0	0	0	0	0	698	492	885	1383	326	0	0
TMCC1	413.423077	0	0	0	0	536	0	263	0	0	474	0	245	289	420	561	322	235	1116	174	0	114	1951	494	403	425	669	557	558	1206	575	1211	635	379	769	758	314	638	1101	195	0	0	0	0	0	0	0	814	843	1237	1017	0	0	0
DHX32	413.326923	0	0	0	0	155	0	1512	446	0	594	0	410	351	139	146	616	306	471	134	150	0	1864	483	815	563	0	0	375	654	383	667	686	453	1379	1916	145	320	197	996	109	0	0	0	0	0	0	810	716	1224	1308	0	0	0
TTC31	412.153846	122	206	0	0	0	0	301	165	0	339	0	190	0	0	152	662	781	2200	630	471	233	165	510	1515	633	916	1105	0	0	0	0	306	209	2672	2461	356	494	279	483	684	246	0	0	267	0	181	144	147	195	270	577	165	0
CCDC142	412.153846	122	206	0	0	0	0	301	165	0	339	0	190	0	0	152	662	781	2200	630	471	233	165	510	1515	633	916	1105	0	0	0	0	306	209	2672	2461	356	494	279	483	684	246	0	0	267	0	181	144	147	195	270	577	165	0
SLC2A11	403.480769	141	98	238	0	1684	465	846	198	0	0	0	0	0	0	0	0	164	3117	464	0	0	1113	0	145	0	1963	2052	0	0	0	0	0	0	883	930	0	0	3551	702	0	0	0	0	0	0	0	0	117	0	0	1713	397	0
SMAD3	403.057692	0	106	0	0	244	0	1141	228	0	662	0	374	225	157	140	353	143	1321	337	0	0	1830	361	1202	1031	282	348	368	394	352	413	603	271	2224	2089	119	224	729	931	218	0	0	0	0	0	0	334	250	320	420	215	0	0
CNPY1	396.365385	0	0	0	0	521	0	426	0	0	404	0	170	342	0	0	768	252	562	284	95	0	1412	751	270	306	0	0	663	1062	713	1132	651	310	2087	1895	0	0	152	1482	0	0	0	0	0	0	0	997	773	871	1260	0	0	0
PRDM14	392.192308	0	0	0	0	385	0	293	131	0	577	0	278	350	0	0	306	610	152	0	0	127	541	765	260	291	0	0	310	819	313	829	526	234	2799	2673	231	358	715	1323	205	0	0	0	0	0	0	751	932	943	1367	0	0	0
ZNF697	391.346154	0	0	0	0	648	0	1291	625	0	470	0	277	185	0	0	234	359	468	230	155	0	917	642	520	716	0	135	509	495	529	521	409	413	1182	1137	0	177	1229	252	0	0	0	0	0	0	0	1145	911	1687	1882	0	0	0
ODF2	379.846154	0	0	0	0	1028	136	904	301	0	509	0	271	202	150	158	601	158	623	796	0	301	2051	363	840	682	0	0	313	478	318	498	588	321	1364	1299	172	193	1612	167	0	0	0	0	0	0	0	573	554	765	463	0	0	0
RIF1	379.807692	0	156	0	0	642	159	327	0	0	196	0	0	0	185	264	225	91	1735	310	0	0	962	248	818	247	1886	2024	148	250	162	276	257	120	2513	2587	141	187	1752	234	128	0	0	0	0	0	0	0	0	0	217	303	0	0
BEST3	374.538462	0	0	0	0	1314	0	1151	313	0	575	0	256	305	0	0	182	183	682	452	0	0	1432	609	921	444	0	0	288	251	289	253	471	388	784	706	140	245	2378	1259	0	0	0	0	0	0	0	526	327	652	709	862	129	0
PDCL	372.730769	0	138	0	0	687	0	332	0	0	310	0	100	158	182	216	424	98	1491	273	0	0	1350	249	939	504	938	957	212	133	252	141	299	283	1657	1652	235	414	932	428	181	0	0	0	0	0	0	424	464	586	1049	694	0	0
MB21D2	363.442308	0	0	0	0	346	0	785	229	0	470	0	177	335	0	0	492	302	1374	275	279	0	369	607	1150	980	0	182	231	346	241	340	430	258	2311	1914	0	178	1251	1430	319	209	0	0	0	0	0	227	203	153	385	121	0	0
FMN1	359.961538	0	0	0	0	217	0	631	166	0	488	0	383	309	175	202	201	182	677	128	197	194	523	934	1324	1382	416	502	159	215	165	210	434	342	2048	1947	245	552	629	287	312	131	0	0	124	0	112	166	0	131	351	770	157	0
ALDH3A2	358.076923	0	196	119	0	335	0	544	223	0	300	0	200	220	0	0	676	143	348	363	0	134	1827	693	1086	1239	308	367	0	0	0	0	0	129	1736	1643	170	252	688	712	176	83	0	0	0	0	0	976	509	863	1362	0	0	0
PPM1K	353.307692	0	0	0	0	340	0	751	286	0	421	0	118	252	0	0	307	621	795	146	156	0	837	392	554	266	0	0	165	253	164	251	412	187	2518	2060	207	416	206	1386	0	0	0	0	141	0	153	634	867	923	1187	0	0	0
